method: org.apache.fop.fonts.FontReader.getInt:670929294
0(670929294) -> 0(1258695627) 
this(670929294) -> this(1258695627) 
str(670929294) -> str(1258695627) 
0(670929294) -> e(1258695627) 
0(670929294) -> $r0(1258695627) 
0(670929294) -> $r1(1258695627) 
0(670929294) -> $r2(1258695627) 
0(670929294) -> $r3(1258695627) 
0(1258695627) -> 0(35996392) 
this(1258695627) -> this(35996392) 
str(1258695627) -> str(35996392) 
e(1258695627) -> e(35996392) 
$r0(1258695627) -> $r0(35996392) 
$r1(1258695627) -> $r1(35996392) 
$r2(1258695627) -> $r2(35996392) 
$r3(1258695627) -> $r3(35996392) 
0(35996392) -> 0(1685376013) 
this(35996392) -> this(1685376013) 
str(35996392) -> str(1685376013) 
e(35996392) -> e(1685376013) 
$r0(35996392) -> $r0(1685376013) 
$r1(35996392) -> $r1(1685376013) 
$r2(35996392) -> $r2(1685376013) 
$r3(35996392) -> $r3(1685376013) 
0(1685376013) -> 0(692875954) 
this(1685376013) -> this(692875954) 
str(1685376013) -> str(692875954) 
e(1685376013) -> e(692875954) 
$r0(1685376013) -> $r0(692875954) 
$r1(1685376013) -> $r1(692875954) 
$r2(1685376013) -> $r2(692875954) 
$r3(1685376013) -> $r3(692875954) 
0(692875954) -> 0(-692875954) 
this(692875954) -> this(-692875954) 
str(692875954) -> str(-692875954) 
e(692875954) -> e(-692875954) 
$r0(692875954) -> $r0(-692875954) 
$r1(692875954) -> $r1(-692875954) 
$r2(692875954) -> $r2(-692875954) 
$r3(692875954) -> $r3(-692875954) 
0(-692875954) -> 0(1509824844) 
this(-692875954) -> this(1509824844) 
str(-692875954) -> str(1509824844) 
e(-692875954) -> e(1509824844) 
$r0(-692875954) -> $r0(1509824844) 
$r1(-692875954) -> $r1(1509824844) 
$r2(-692875954) -> $r2(1509824844) 
$r3(-692875954) -> $r3(1509824844) 
0(1509824844) -> 0(1651482915) 
this(1509824844) -> this(1651482915) 
str(1509824844) -> str(1651482915) 
e(1509824844) -> e(1651482915) 
$r0(1509824844) -> $r0(1651482915) 
$r1(1509824844) -> $r1(1651482915) 
$r2(1509824844) -> $r2(1651482915) 
$r3(1509824844) -> $r3(1651482915) 
0(959380156) -> 0(995060216) 
this(959380156) -> this(995060216) 
str(959380156) -> str(995060216) 
$r0(959380156) -> $r0(995060216) 
$r1(959380156) -> e(995060216) 
$r1(959380156) -> $r1(995060216) 
$r2(959380156) -> $r2(995060216) 
$r3(959380156) -> $r3(995060216) 
0(995060216) -> 0(1893868491) 
this(995060216) -> this(1893868491) 
str(995060216) -> str(1893868491) 
e(995060216) -> e(1893868491) 
$r0(995060216) -> $r0(1893868491) 
$r1(995060216) -> $r1(1893868491) 
$r3(995060216) -> $r3(1893868491) 
0(1893868491) -> 0(730522275) 
this(1893868491) -> this(730522275) 
str(1893868491) -> str(730522275) 
e(1893868491) -> e(730522275) 
$r1(1893868491) -> $r1(730522275) 
$r2(1893868491) -> $r2(730522275) 
$r3(1893868491) -> $r3(730522275) 
0(730522275) -> 0(521438727) 
this(730522275) -> this(521438727) 
str(730522275) -> str(521438727) 
e(730522275) -> e(521438727) 
$r0(730522275) -> $r0(521438727) 
$r1(730522275) -> $r1(521438727) 
$r2(730522275) -> $r2(521438727) 
$r3(730522275) -> $r3(521438727) 
0(521438727) -> 0(-521438727) 
this(521438727) -> this(-521438727) 
str(521438727) -> str(-521438727) 
e(521438727) -> e(-521438727) 
$r1(521438727) -> $r1(-521438727) 
$r2(521438727) -> $r2(-521438727) 
$r3(521438727) -> $r3(-521438727) 
0(-521438727) -> 0(1721784311) 
this(-521438727) -> this(1721784311) 
str(-521438727) -> str(1721784311) 
e(-521438727) -> e(1721784311) 
$r0(-521438727) -> $r0(1721784311) 
$r1(-521438727) -> $r1(1721784311) 
$r2(-521438727) -> $r2(1721784311) 
$r3(-521438727) -> $r3(1721784311) 
0(1721784311) -> 0(-1721784311) 
this(1721784311) -> this(-1721784311) 
