method: org.apache.fop.util.BreakUtil.compareBreakClasses:343129650
0(343129650) -> 0(612838522) 
0(612838522) -> 0(645468242) 
0(645468242) -> 0(2068180680) 
0(2068180680) -> 0(-2068180680) 
0(-2068180680) -> 0(148053777) 
0(148053777) -> 0(-148053777) 
0(-148053777) -> 0(1873199734) 
0(1873199734) -> 0(253553637) 
0(1873199734) -> 0(1633649563) 
0(1633649563) -> 0(-343129650) 
0(1633649563) -> .return(-343129650) 
0(253553637) -> 0(-343129650) 
0(253553637) -> .return(-343129650) 
