method: org.apache.fop.fonts.type1.PFBData.getLength1:1810643507
897671 -> 897672
897673 -> 897674
897671 -> 897675
897672 -> 897676
897674 -> 897677
897675 -> 897678
897676 -> 897679
897677 -> 897680
897678 -> 897681
897679 -> 897682
897680 -> 897683
897681 -> 897684
897682 -> 897685
897683 -> 897686
897684 -> 897687
897682 -> 897688
