method: org.apache.fop.fonts.type1.PFMFile.getXHeight:409308365
0(409308365) -> 0(1114969548) 
this(409308365) -> this(1114969548) 
0(1114969548) -> 0(409967136) 
this(1114969548) -> this(409967136) 
0(409967136) -> 0(1190115176) 
this(409967136) -> this(1190115176) 
0(1190115176) -> 0(-409308365) 
this(1190115176) -> this(-409308365) 
0(1190115176) -> .return(-409308365) 
