method: org.apache.fop.area.AreaTreeObject.getForeignAttributes:1146963170
28541 -> 28542
28543 -> 28544
28541 -> 28545
28542 -> 28546
28544 -> 28547
28545 -> 28548
28546 -> 28549
28547 -> 28550
28548 -> 28551
28549 -> 28552
28550 -> 28553
28551 -> 28554
28549 -> 28555
28550 -> 28556
28551 -> 28557
28555 -> 28558
28556 -> 28559
28557 -> 28560
28558 -> 28561
28559 -> 28562
28561 -> 28563
28562 -> 28564
28565 -> 28566
28563 -> 28567
28564 -> 28568
28566 -> 28569
28566 -> 28570
28552 -> 28571
28553 -> 28572
28554 -> 28573
28571 -> 28567
28572 -> 28568
28573 -> 28569
28573 -> 28570
