method: org.apache.fop.render.java2d.Java2DGraphicsState.dispose:1231015439
1904907 -> 1904908
1904909 -> 1904910
1904907 -> 1904911
1904908 -> 1904912
1904910 -> 1904913
1904911 -> 1904914
1904912 -> 1904915
1904913 -> 1904916
1904914 -> 1904917
1904915 -> 1904918
1904916 -> 1904919
1904917 -> 1904920
1904918 -> 1904921
1904919 -> 1904922
1904920 -> 1904923
1904921 -> 1904924
1904922 -> 1904925
1904923 -> 1904926
1904921 -> 1904927
