method: org.apache.fop.fonts.CustomFont.setFontBBox:821501445
775132 -> 775133
775134 -> 775135
775136 -> 775137
775133 -> 775138
775135 -> 775139
775137 -> 775140
775138 -> 775141
775139 -> 775142
775140 -> 775143
775141 -> 775144
775142 -> 775145
775143 -> 775146
775144 -> 775147
775145 -> 775148
775146 -> 775149
775144 -> 775150
