method: org.apache.fop.pdf.PDFFontNonBase14.setDescriptor:191912697
1611424 -> 1611425
1611426 -> 1611427
1611428 -> 1611429
1611425 -> 1611430
1611427 -> 1611431
1611429 -> 1611432
1611430 -> 1611433
1611431 -> 1611434
1611432 -> 1611435
1611433 -> 1611436
1611434 -> 1611437
1611435 -> 1611438
1611436 -> 1611439
1611437 -> 1611440
1611438 -> 1611441
1611436 -> 1611442
