method: org.apache.fop.layoutmgr.inline.ScaledBaselineTableFactory.makeFontScaledBaselineTable:497577760
1270034 -> 1270035
1270036 -> 1270037
1270034 -> 1270038
1270035 -> 1270039
1270037 -> 1270040
1270038 -> 1270041
1270039 -> 1270042
1270040 -> 1270043
1270041 -> 1270044
1270042 -> 1270045
1270043 -> 1270046
1270045 -> 1270047
1270046 -> 1270048
1270049 -> 1270050
1270047 -> 1270051
1270048 -> 1270052
1270050 -> 1270053
1270050 -> 1270054
