method: org.apache.fop.fonts.truetype.TTFDirTabEntry.getChecksum:1615248517
0(1615248517) -> 0(94100752) 
this(1615248517) -> this(94100752) 
0(94100752) -> 0(1676516060) 
this(94100752) -> this(1676516060) 
0(1676516060) -> 0(72488133) 
this(1676516060) -> this(72488133) 
0(72488133) -> 0(-1615248517) 
this(72488133) -> this(-1615248517) 
0(72488133) -> .return(-1615248517) 
