method: main.TestTaskCom$2.<init>:1100307405
94518 -> 94519
94520 -> 94521
94522 -> 94523
94519 -> 94524
94521 -> 94525
94523 -> 94526
94524 -> 94527
94525 -> 94528
94526 -> 94529
94527 -> 94530
94528 -> 94531
94529 -> 94532
94530 -> 94533
94531 -> 94534
94532 -> 94535
94533 -> 94536
94534 -> 94537
94535 -> 94538
94533 -> 94539
