method: funcs.DeviceFunction.getDevice:961503948
0(961503948) -> 0(1407087523) 
this(961503948) -> this(1407087523) 
serialNumber(961503948) -> serialNumber(1407087523) 
0(961503948) -> l3(1407087523) 
0(961503948) -> dev(1407087523) 
0(961503948) -> $r0(1407087523) 
0(961503948) -> $r1(1407087523) 
0(961503948) -> $r2(1407087523) 
0(1407087523) -> 0(830078297) 
this(1407087523) -> this(830078297) 
serialNumber(1407087523) -> serialNumber(830078297) 
l3(1407087523) -> l3(830078297) 
dev(1407087523) -> dev(830078297) 
$r0(1407087523) -> $r0(830078297) 
$r1(1407087523) -> $r1(830078297) 
$r2(1407087523) -> $r2(830078297) 
0(830078297) -> 0(371570992) 
this(830078297) -> this(371570992) 
serialNumber(830078297) -> serialNumber(371570992) 
l3(830078297) -> l3(371570992) 
dev(830078297) -> dev(371570992) 
$r0(830078297) -> $r0(371570992) 
$r1(830078297) -> $r1(371570992) 
$r2(830078297) -> $r2(371570992) 
0(371570992) -> 0(914488986) 
this(371570992) -> this(914488986) 
serialNumber(371570992) -> serialNumber(914488986) 
l3(371570992) -> l3(914488986) 
dev(371570992) -> dev(914488986) 
$r0(371570992) -> $r0(914488986) 
$r1(371570992) -> $r1(914488986) 
$r2(371570992) -> $r2(914488986) 
0(914488986) -> 0(-914488986) 
this(914488986) -> this(-914488986) 
serialNumber(914488986) -> serialNumber(-914488986) 
dev(914488986) -> dev(-914488986) 
$r0(914488986) -> $r0(-914488986) 
$r1(914488986) -> $r1(-914488986) 
$r2(914488986) -> $r2(-914488986) 
0(-914488986) -> 0(275926123) 
this(-914488986) -> this(275926123) 
serialNumber(-914488986) -> serialNumber(275926123) 
l3(-914488986) -> l3(275926123) 
dev(-914488986) -> dev(275926123) 
$r0(-914488986) -> $r0(275926123) 
$r1(-914488986) -> $r1(275926123) 
$r2(-914488986) -> $r2(275926123) 
0(275926123) -> 0(644541754) 
this(275926123) -> this(644541754) 
serialNumber(275926123) -> serialNumber(644541754) 
l3(275926123) -> l3(644541754) 
dev(275926123) -> dev(644541754) 
$r0(275926123) -> $r0(644541754) 
$r1(275926123) -> $r1(644541754) 
$r2(275926123) -> $r2(644541754) 
0(1954938610) -> 0(-1954938610) 
this(1954938610) -> this(-1954938610) 
serialNumber(1954938610) -> serialNumber(-1954938610) 
l3(1954938610) -> l3(-1954938610) 
dev(1954938610) -> dev(-1954938610) 
$r0(1954938610) -> $r0(-1954938610) 
$r2(1954938610) -> $r2(-1954938610) 
0(-1954938610) -> 0(1535613790) 
this(-1954938610) -> this(1535613790) 
serialNumber(-1954938610) -> serialNumber(1535613790) 
l3(-1954938610) -> l3(1535613790) 
dev(-1954938610) -> dev(1535613790) 
$r0(-1954938610) -> $r0(1535613790) 
$r1(-1954938610) -> $r1(1535613790) 
$r2(-1954938610) -> $r2(1535613790) 
0(1535613790) -> 0(813347783) 
this(1535613790) -> this(813347783) 
serialNumber(1535613790) -> serialNumber(813347783) 
l3(1535613790) -> l3(813347783) 
$r0(1535613790) -> $r0(813347783) 
$r1(1535613790) -> dev(813347783) 
$r1(1535613790) -> $r1(813347783) 
$r2(1535613790) -> $r2(813347783) 
0(813347783) -> 0(788057671) 
this(813347783) -> this(788057671) 
serialNumber(813347783) -> serialNumber(788057671) 
l3(813347783) -> l3(788057671) 
dev(813347783) -> dev(788057671) 
$r0(813347783) -> $r0(788057671) 
$r1(813347783) -> $r1(788057671) 
$r2(813347783) -> $r2(788057671) 
0(788057671) -> 0(-788057671) 
this(788057671) -> this(-788057671) 
serialNumber(788057671) -> serialNumber(-788057671) 
l3(788057671) -> l3(-788057671) 
dev(788057671) -> dev(-788057671) 
$r0(788057671) -> $r0(-788057671) 
$r1(788057671) -> $r1(-788057671) 
$r2(788057671) -> $r2(-788057671) 
0(-788057671) -> 0(1353625448) 
this(-788057671) -> this(1353625448) 
serialNumber(-788057671) -> serialNumber(1353625448) 
l3(-788057671) -> l3(1353625448) 
dev(-788057671) -> dev(1353625448) 
$r0(-788057671) -> $r0(1353625448) 
$r1(-788057671) -> $r1(1353625448) 
$r2(-788057671) -> $r2(1353625448) 
0(1353625448) -> 0(644541754) 
this(1353625448) -> this(644541754) 
serialNumber(1353625448) -> serialNumber(644541754) 
