method: main.MainUI.createScriptInfoCom:251780582
script(368426864) -> script(976154692) 
scriptname(368426864) -> scriptname(976154692) 
scrDisplayCom(368426864) -> scrDisplayCom(976154692) 
$r0(368426864) -> $r0(976154692) 
$r1(368426864) -> $r1(976154692) 
$r2(368426864) -> $r2(976154692) 
$r3(368426864) -> $r3(976154692) 
$r4(368426864) -> $r4(976154692) 
$r5(368426864) -> $r5(976154692) 
$r6(368426864) -> $r6(976154692) 
$r7(368426864) -> $r7(976154692) 
0(1670189749) -> 0(779214446) 
this(1670189749) -> this(779214446) 
parent(1670189749) -> parent(779214446) 
itemtname(1670189749) -> itemtname(779214446) 
l6(1670189749) -> l6(779214446) 
com(1670189749) -> com(779214446) 
script(1670189749) -> script(779214446) 
scriptname(1670189749) -> scriptname(779214446) 
scrDisplayCom(1670189749) -> scrDisplayCom(779214446) 
$r0(1670189749) -> $r0(779214446) 
$r1(1670189749) -> $r1(779214446) 
$r2(1670189749) -> $r2(779214446) 
$r3(1670189749) -> $r3(779214446) 
$r4(1670189749) -> $r4(779214446) 
$r5(1670189749) -> $r5(779214446) 
$r6(1670189749) -> $r6(779214446) 
$r7(1670189749) -> $r7(779214446) 
0(779214446) -> 0(901914516) 
this(779214446) -> this(901914516) 
parent(779214446) -> parent(901914516) 
itemtname(779214446) -> itemtname(901914516) 
l6(779214446) -> l6(901914516) 
com(779214446) -> com(901914516) 
script(779214446) -> script(901914516) 
scriptname(779214446) -> scriptname(901914516) 
scrDisplayCom(779214446) -> scrDisplayCom(901914516) 
$r0(779214446) -> $r0(901914516) 
$r1(779214446) -> $r1(901914516) 
$r2(779214446) -> $r2(901914516) 
$r3(779214446) -> $r3(901914516) 
$r4(779214446) -> $r4(901914516) 
$r5(779214446) -> $r5(901914516) 
$r6(779214446) -> $r6(901914516) 
$r7(779214446) -> $r7(901914516) 
0(901914516) -> 0(976154692) 
this(901914516) -> this(976154692) 
parent(901914516) -> parent(976154692) 
itemtname(901914516) -> itemtname(976154692) 
l6(901914516) -> l6(976154692) 
com(901914516) -> com(976154692) 
script(901914516) -> script(976154692) 
scriptname(901914516) -> scriptname(976154692) 
scrDisplayCom(901914516) -> scrDisplayCom(976154692) 
$r0(901914516) -> $r0(976154692) 
$r1(901914516) -> $r1(976154692) 
$r2(901914516) -> $r2(976154692) 
$r3(901914516) -> $r3(976154692) 
$r4(901914516) -> $r4(976154692) 
$r5(901914516) -> $r5(976154692) 
$r6(901914516) -> $r6(976154692) 
$r7(901914516) -> $r7(976154692) 
0(976154692) -> 0(1670189749) 
this(976154692) -> this(1670189749) 
parent(976154692) -> parent(1670189749) 
itemtname(976154692) -> itemtname(1670189749) 
l6(976154692) -> l6(1670189749) 
com(976154692) -> com(1670189749) 
script(976154692) -> script(1670189749) 
scriptname(976154692) -> scriptname(1670189749) 
scrDisplayCom(976154692) -> scrDisplayCom(1670189749) 
$r0(976154692) -> $r0(1670189749) 
$r1(976154692) -> $r1(1670189749) 
$r2(976154692) -> $r2(1670189749) 
$r3(976154692) -> $r3(1670189749) 
$r4(976154692) -> $r4(1670189749) 
$r5(976154692) -> $r5(1670189749) 
$r6(976154692) -> $r6(1670189749) 
$r7(976154692) -> $r7(1670189749) 
0(976154692) -> 0(1604329011) 
this(976154692) -> this(1604329011) 
parent(976154692) -> parent(1604329011) 
itemtname(976154692) -> itemtname(1604329011) 
l6(976154692) -> l6(1604329011) 
com(976154692) -> com(1604329011) 
script(976154692) -> script(1604329011) 
scriptname(976154692) -> scriptname(1604329011) 
scrDisplayCom(976154692) -> scrDisplayCom(1604329011) 
$r0(976154692) -> $r0(1604329011) 
$r1(976154692) -> $r1(1604329011) 
$r2(976154692) -> $r2(1604329011) 
$r3(976154692) -> $r3(1604329011) 
$r4(976154692) -> $r4(1604329011) 
$r5(976154692) -> $r5(1604329011) 
$r6(976154692) -> $r6(1604329011) 
$r7(976154692) -> $r7(1604329011) 
0(1604329011) -> 0(565849070) 
this(1604329011) -> this(565849070) 
parent(1604329011) -> parent(565849070) 
itemtname(1604329011) -> itemtname(565849070) 
l6(1604329011) -> l6(565849070) 
com(1604329011) -> com(565849070) 
script(1604329011) -> script(565849070) 
scriptname(1604329011) -> scriptname(565849070) 
scrDisplayCom(1604329011) -> scrDisplayCom(565849070) 
$r0(1604329011) -> $r0(565849070) 
$r1(1604329011) -> $r1(565849070) 
$r2(1604329011) -> $r2(565849070) 
$r3(1604329011) -> $r3(565849070) 
$r4(1604329011) -> $r4(565849070) 
$r5(1604329011) -> $r5(565849070) 
$r6(1604329011) -> $r6(565849070) 
$r7(1604329011) -> $r7(565849070) 
0(565849070) -> 0(-565849070) 
this(565849070) -> this(-565849070) 
parent(565849070) -> parent(-565849070) 
itemtname(565849070) -> itemtname(-565849070) 
l6(565849070) -> l6(-565849070) 
com(565849070) -> com(-565849070) 
scriptname(565849070) -> scriptname(-565849070) 
scrDisplayCom(565849070) -> scrDisplayCom(-565849070) 
$r0(565849070) -> $r0(-565849070) 
$r1(565849070) -> $r1(-565849070) 
$r2(565849070) -> $r2(-565849070) 
$r3(565849070) -> $r3(-565849070) 
$r4(565849070) -> $r4(-565849070) 
$r5(565849070) -> $r5(-565849070) 
$r6(565849070) -> $r6(-565849070) 
$r7(565849070) -> $r7(-565849070) 
0(-565849070) -> 0(194707285) 
this(-565849070) -> this(194707285) 
parent(-565849070) -> parent(194707285) 
itemtname(-565849070) -> itemtname(194707285) 
l6(-565849070) -> l6(194707285) 
com(-565849070) -> com(194707285) 
script(-565849070) -> script(194707285) 
scriptname(-565849070) -> scriptname(194707285) 
scrDisplayCom(-565849070) -> scrDisplayCom(194707285) 
$r0(-565849070) -> $r0(194707285) 
$r1(-565849070) -> $r1(194707285) 
$r2(-565849070) -> $r2(194707285) 
$r3(-565849070) -> $r3(194707285) 
$r4(-565849070) -> $r4(194707285) 
$r5(-565849070) -> $r5(194707285) 
$r6(-565849070) -> $r6(194707285) 
$r7(-565849070) -> $r7(194707285) 
0(194707285) -> 0(1827744614) 
this(194707285) -> this(1827744614) 
parent(194707285) -> parent(1827744614) 
itemtname(194707285) -> itemtname(1827744614) 
l6(194707285) -> l6(1827744614) 
com(194707285) -> com(1827744614) 
script(194707285) -> script(1827744614) 
scriptname(194707285) -> scriptname(1827744614) 
scrDisplayCom(194707285) -> scrDisplayCom(1827744614) 
$r0(194707285) -> $r0(1827744614) 
$r1(194707285) -> $r1(1827744614) 
$r2(194707285) -> $r2(1827744614) 
$r3(194707285) -> $r3(1827744614) 
